name,cuisine,lat,lon,city,street,postcode,state,opening_hours,phone,website
Korea House B.B.Q Buffet,barbecue,33.7869029,-117.9581017,Garden Grove,Brookhurst Street,92840,CA,11:00-22:00,,
Mastro's Steakhouse,steak_house,33.6896414,-117.882634,,,,,,,https://www.mastrosrestaurants.com/location/mastros-steakhouse-costa-mesa
Karl Strauss Brewing Company,american,33.6895193,-117.8957235,,,,,Mo-Su 11:30 -23:00,,
Claim Jumper,american,33.6916459,-117.8871877,,,,,,,
Ango Tei,sushi,33.6820485,-117.8845863,,,,,,,
La Rocco's,pizza,33.663751,-118.0052358,,,,,,,
Bravo Avo,mediterranean,33.6811368,-117.6657508,,,,,,,https://bravoavo.com/
Rising Sun Chinese Food,chinese,33.6797488,-117.6625983,,,,,,,
Avila's El Ranchito,mexican,33.6794033,-117.6622708,,,,,,,
The Rice,sushi,33.6792083,-117.662074,,,,,,,
Thai Bamboo Bistro,thai,33.6980111,-117.8283407,Irvine,,,CA,,,
Fast Hotpot,chinese,33.6507461,-117.8387898,Irvine,Campus Drive,92612,CA,,+1-949-336-4733,https://www.fasthotpot.com/
Eureka!,american,33.6506544,-117.8392235,,,,,,,
Blaze Pizza,pizza,33.6498111,-117.8391137,,,,,Mo-Su 11:00-22:00,,
Tacos & Co.,mexican,33.6689102,-117.765082,Irvine,Irvine Center Drive,92618,,,,
HiroNori Craft Ramen,noodle,33.6687245,-117.7649154,Irvine,Irvine Center Drive,92618,,,,
SAJJ Mediterranean,mediterranean,33.6685679,-117.764595,Irvine,Irvine Center Drive,92618,CA,11:00-19:30,+1 949 336 4366,https://www.sajjstreeteats.com/location/irvine/
Hi House,noodle,33.6685253,-117.764535,Irvine,Irvine Center Drive,92618,,,,
Peppinos,italian,33.6319116,-117.6449359,Mission Viejo,Vista Del Lago # 26,92692,CA,Mo-Th 16:00-21:30; Fr-Su 11:00-21:30,+1-949-859-9556,https://www.peppinosonline.com/locations_missionviejo.html
Hacienda on the Lake,mexican,33.6322334,-117.6446949,Mission Viejo,Vista Del Lago,92692,CA,"11am-10pm weekdays, 11am-11pm weekend",+1-949-472-8100,https://www.haciendaonthelake.com/dinner-menu/
Thai Smile,thai,33.6366727,-117.609343,,Aventura,,,00:00-21:00,+1-949-589-6654,https://www.thaismilersm.com/menu.html
Ritters Steam Kettle Cooking,regional,33.7004645,-117.8876768,,,,,,,
Cuca's Mexican Food,mexican,33.6807199,-117.6672008,,,,,11:00-20:00,,
Lamppost Pizza,pizza,33.6370274,-117.6814792,,,,,,,
Pizza Hut,pizza,33.6359098,-117.682866,Lake Forest,El Toro Road,92630,CA,,+1 949-454-2400,https://locations.pizzahut.com/ca/lake-forest/22481-el-toro-rd
Empenada Man,mexican,33.6607514,-117.66951,,,,,,,
Fuji Grill,japanese,33.6618846,-117.6671707,,,,,,,
Los Cabos Sports Bar & Grill,mexican,33.6617352,-117.6668679,,,,,,,
The Bagel Shack,bagel;breakfast,33.6181945,-117.7041597,,El Toro Road,92630,,"Mo-We,Fr 05:30-14:30; Th 06:00-14:30; Sa-Su 05:30-15:00",+1 949-305-2034,https://thebagelshack.com/
Prego,italian,33.698018,-117.828103,,,,,,,
A Bite of New Jersey,sandwich,33.7805298,-118.0414677,Garden Grove,Lampson Avenue,92845,CA,,,
Class 302,taiwanese;bubble_tea,33.727773,-117.7862096,,,,,,,
Casa Del Sol Cucina Mexicana,mexican,33.6981321,-117.827347,,,,,,,
Com Tam Tran Huy Cap,vietnamese,33.7284452,-117.9203877,Fountain Valley,Harbor Boulevard,92708,,Sa-Su 09:00-21:00; Mo-Fr 10:00-21:00,+1-714-418-1333,
The Hangout Restaurant & Beach Bar,american;seafood;burger,33.7229213,-118.0410602,Huntington Beach,Bolsa Chica Street,92649,CA,Mo-Su 07:00-23:00,+1-657-204-9306,https://www.thehangoutrestaurant.com/huntington-beach-restaurant/
Phở Gà Yummy,vietnamese,33.7445827,-117.9629039,Westminster,Bolsa Avenue,92683,CA,,+1-714-531-7788,http://phogayummy.com
Round Table Pizza,pizza,33.6403776,-117.5946663,Rancho Santa Margarita,El Paseo,92688,CA,,,
Pizza Hut,pizza,33.7687604,-117.836028,Santa Ana,North Tustin Avenue,92705,CA,,+1 714-834-9090,https://locations.pizzahut.com/ca/santa-ana/2390-n-tustin-ave
The Crab Cooker,seafood,33.7582034,-117.829491,,,,,,,
Mission Ranch Market Restaurant,persian,33.6262755,-117.677626,,Los Alisos Boulevard,,,,+1 949-707-5879,https://missionranchmarkets.com/
All Star Pizza,pizza,33.6293336,-117.6638914,,Los Alisos Boulevard,92691,,Mo-Su 11:00-22:00,+1 949-586-4007,https://www.allstarpizzamv.com/
Donut Storr,donut,33.6294213,-117.6652376,,Los Alisos Boulevard,,,,,
Taco Mesa,mexican,33.6288891,-117.6641116,,Los Alisos Boulevard,92691,,Mo-Su 09:00-21:00,,https://www.tacomesa.com/
donuts,donut,33.6272535,-117.6351351,,,,,,,
Little Chopsticks,chinese,33.6291313,-117.6639496,,Trabuco Road,92691,,Mo-Su 11:00-21:30,+1 949-380-7888,http://www.little-chopsticks.com
Manpuku Tokyo BBQ Dining,japanese,33.6798565,-117.893554,Costa Mesa,Baker Street,92626,CA,Mo-Su 17:00-00:00,+1-714-708-3290,
Thai Garden,thai,33.6366653,-117.5993528,,,,,,,
Baja Fish Tacos,mexican,33.6542367,-117.6461786,,Santa Margarita Parkway,92691,,,,https://bajafishtacos.com/
Grill Hut,mediterranean,33.6543134,-117.6463046,,,,,,,https://grillhut.com/
Yama sushi,sushi;japanese,33.6317868,-117.6450771,,,,,,,http://www.yamasushionthelake.com
Juliette,fine_dining,33.6580589,-117.8665671,,1000 Bristol Street North,92660,,Mo 11:00-21:00; Tu-Th 11:00-22:00; Fr 11:00-22:30; Sa 17:00-22:30; Su off,+1-949-752-5854,
Natraj's Tandoori,indian,33.6549453,-117.7779178,Irvine,Quail Hill Parkway,92603,,,,
Nalu's Hawaiian Fish Grill,hawaiian,33.6550167,-117.7778447,Irvine,Quail Hill Parkway,92603,,,,
O Fine Japanese Cuisine,japanese,33.655158,-117.7777714,Irvine,Quail Hill Parkway,92603,,,,
Sharky's Woodfired Mexican Grill,mexican,33.6552429,-117.7777998,Irvine,Quail Hill Parkway,92603,,,,
Johnny's Real New York Pizza,pizza,33.6552774,-117.7778667,Irvine,Quail Hill Parkway,92603,,,,
Bánh cuốn Tây Hồ #4,vietnamese,33.7441376,-117.9577832,Westminster,Bolsa Avenue,92683,CA,,+1-714-531-5171,
Bánh cuốn Tây Hồ #2,vietnamese,33.7443556,-117.9679675,,,,,,,
Seafood Cove #2,chinese;seafood,33.7452946,-117.968001,Westminster,Bolsa Avenue,92683,CA,08:30-21:00,+1 714-893-1976,https://www.seafoodcove.com/
Lục Đỉnh Ký #1,vietnamese,33.7446478,-117.957995,Westminster,Bolsa Avenue,92683,CA,,,
Kobe Bistro,vietnamese;noodle,33.7441543,-117.9572011,Westminster,Bolsa Avenue,92683,CA,,,
Đệ Nhất Cơm Tấm Thành,vietnamese,33.7442037,-117.9568739,Westminster,Bolsa Avenue,92683,CA,,,
Tân Hồng Mai,vietnamese,33.744169,-117.9559293,Westminster,Bolsa Avenue,92683,CA,,,
Z Cafe,vietnamese,33.7452136,-117.9597385,,,,,,,http://www.zcafehouse.com/
Hồng Mai,vietnamese,33.7459541,-117.9598216,,,,,,,
Carmelita's,mexican,33.6501256,-117.5831532,,Santa Margarita Parkway,92688,,Mo-Sa 11:30-21:00; Su 10:00-21:00,+1-949-709-7600,http://carmelitaskitchen.com
The Blind Pig,american;bar_and_grill,33.6498938,-117.5830558,,Santa Margarita Parkway,92688,,Su 11:00-23:00; Tu 09:00-18:00; We-Th 15:00-00:00; Fr 15:00-01:00; Sa 11:00-01:00,+1-949-888-0072,http://theblindpigoc.com
Chili Chutney Grill,persian;arab,33.6295295,-117.7055388,,,92630,,"Tu-Th,Su 11:30-21:00; Fr-Sa 11:30-22:00",+1 949-859-1778,https://www.chilichutney.com/
Mountain Mike's,pizza,33.6286435,-117.7044083,Lake Forest,Ridge Route Drive,92630,CA,Su-Th 11:00-21:00; Fr-Sa 11:00-22:00,+1 949-586-4141,https://www.mountainmikespizza.com/locations/lake-forest-ridge-route/?storecode=232
Thanh Mỹ,vietnamese,33.7451979,-117.9620448,Westminster,Bolsa Avenue,92683,CA,,+1-714-531-9540,
Tràng Tiền,vietnamese,33.7455994,-117.9615016,,,,,,,
Cơm tấm Trần Quý Cáp,vietnamese,33.745683,-117.9615177,,,,,,,https://comtamtranquycap.net/
Hiền Vương Đa Kao,vietnamese,33.7439834,-117.9687159,,,,,,,
Nhà hàng Văn,vietnamese,33.7575068,-117.9541881,,,,,,,
Cơm Tấm Thuận Kiều,vietnamese,33.7551185,-117.9543571,Garden Grove,Brookhurst Street,92843,CA,,+1-714-531-4852,
Phở 79,vietnamese,33.7524445,-117.9557417,Garden Grove,Hazard Avenue,92843,CA,We-Mo 07:00-21:00,+1-714-531-2490,https://www.pho79.com/
Phở Quang Trung #2,vietnamese,33.7451442,-117.9680586,,,,,,,http://www.phoquangtrung.com/
Thuận Kiều Noodle & Grill,vietnamese,33.7607829,-117.9568478,,,,,,,
Quán Vy,vietnamese,33.7609702,-117.9560029,,,,,,,
Sharky's Woodfired Mexican Gill,mexican,33.6079017,-117.8265687,,,,,,,
First Class Pizza,pizza,33.6078146,-117.8266116,,,,,,,
Newport Fusion Sushi,sushi,33.6082071,-117.8268105,,,,,,,
Tangata At The Bowers Museum,sandwich,33.7632501,-117.8681892,,,,,,,
Pho Hung Voung,vietnamese,33.735893,-117.8240642,,,,,,,
Donut King Bakery,donut,33.7359906,-117.8239603,,,,,,,
Gyu-Kaku,japanese;barbecue,33.7346874,-117.825959,,,,,,,
Savy Donuts & Smoothie,donut,33.7328586,-117.8268216,,,,,,,
Sushi Wasabi,sushi,33.7329347,-117.8267444,,,,,,,
Golden China,chinese,33.7315772,-117.8274634,Tustin,Walnut Avenue,92780,,,,
Curry Do,japanese,33.7361916,-117.824655,Tustin,Newport Avenue,92780,CA,,+1 714 852 3129,https://www.currydo.com/
La Pho,vietnamese,33.6543862,-117.7785202,Irvine,Quail Hill Parkway,92603,,,,
Dosa Palace,indian,33.7353391,-117.8121508,Tustin,Red Hill Avenue,92780,,,,
Sichuan Impressions,chinese,33.7352403,-117.8122489,Tustin,Red Hill Avenue,92780,,"Mo-Th, Su 11:30-14:45; Mo-Th, Su 17:00-21:30; Fr, Sa 11:30-15:15; Fr, Sa 17:00-21:30",+1-714-506-9070,https://www.sichuanimpression.com
Seoul Garden BBQ Buffet,korean,33.7348934,-117.8125933,Tustin,Red Hill Avenue,92780,,,,
Pizza Hut,pizza,33.7279859,-117.8222019,Tustin,Red Hill Avenue,92780,,,,
Pizza Shack,pizza,33.731837,-117.8179461,Tustin,Red Hill Avenue,92780,,,,
Habuya,okinawan,33.7315916,-117.8183892,Tustin,Red Hill Avenue,92780,,,,
Christakis Greek Cuisine,greek,33.7496725,-117.8118093,Tustin,Newport Avenue,,,,,
Pho Bac Ky,vietnamese,33.7316637,-117.8181187,Tustin,Red Hill Avenue,92780,,,,
Pei Wei,asian,33.6779799,-117.8624217,,,,,Mo-Su 10:00-19:00,,
Blaze Pizza,pizza,33.6778365,-117.8624197,,,,,,,
Javi's,mexican,33.6777446,-117.8624676,,,,,Mo-Fr 05:00-20:30; Sa 05:00-19:00; Su 06:00-20:30,,
Round Table Pizza,pizza,33.6639719,-117.8570554,Newport Beach,Jamboree Road,92660,CA,"Su-Th 11:00-21:00; Fr,Sa 11:00-21:30",,
NY Pizza Faktory & Grill,pizza,33.7394662,-117.8202615,,,,,,,
El Torito,mexican,33.7592391,-117.8279566,,,,,,,
Din Tai Fung,taiwanese,33.6916918,-117.887843,,,,,Mo-Fr 11:00-21:30; Sa 10:00-21:30; Su 10:00-21:00,,http://dintaifungusa.com/locations_us/#orangecounty
Kitakata Ramen Ban Nai,ramen;japanese,33.6794785,-117.8937564,Costa Mesa,Baker Street,92626,CA,,+1-714-557-2947,https://ramenbannai.com/
Meiji Seimen,japanese,33.6798008,-117.9038214,,,,,"Mo-Su 11:30-14:30,17:30-22:00",+1-714-545-5175,
Izakaya Hachi,japanese,33.681254,-117.8863434,Costa Mesa,Bristol Street,92626,CA,,,http://manpuku.co/en/shoplist/hachi/
Brodard Chateau,vietnamese,33.7662798,-117.970609,Garden Grove,Trask Avenue,92844,CA,Mo-Th 10:30-21:30; Fr-Sa 10:30-22:00; Su 10:30-21:30,+1-714-899-8273,https://www.brodard.net/home
Urban Plates,american,33.7263732,-117.7884847,Irvine,Jamboree Road,92602,CA,,,
Olamendis Mission Viejo,mexican,33.6540517,-117.6458515,Mission Viejo,Santa Margarita Parkway,92691,CA,Mo-Su 10:00-21:00,,
Taquerias Guadalajara,mexican,33.7481205,-117.8654493,Santa Ana,East 4th Street,92701,,,+1 714 953 3191,
4th Street Market,american;asian;burger;chicken;chinese;coffee_shop;greek;ice_cream;international;kebab;mexican;pizza;sandwich;seafood;thai,33.7476477,-117.8667466,Santa Ana,East 4th Street,92701,CA,"Mo-Th, Su 11:00-21:00;Fr-Sa 11:00-22:00",,
Filomena's Italian Kitchen & Market,italian,33.6571815,-117.9019535,Costa Mesa,Newport Boulevard,92627,CA,Tu-Fr 11:30-21:30; Sa 16:30-21:30; Su 16:30-20:30,+1-949-642-3810,https://filomenasoc.com/
Zinqué,french,33.6192153,-117.9285283,Newport Beach,Via Oporto,92663,CA,Mo-Th 06:30-00:00; Fr 06:30-02:00; Sa 07:00-14:00; Su 06:30-23:00,+1-949-612-7259,https://lezinque.com/
Kabob Republic,mediterranean,33.6390614,-117.9215405,Costa Mesa,Newport Boulevard,92627,CA,Mo-Su 11:00-20:45,+1-949-764-1778,https://www.kabobrepublic.com/
Habana,latin_american,33.6774401,-117.8857226,Costa Mesa,Bristol Street,92626,CA,Mo-Th 11:00-01:00; Fr 11:00-02:00; Sa 09:00-02:00; Su 09:00-01:00,+1-714-556-0176,https://www.restauranthabana.com/
Simply Pho,vietnamese,33.6173135,-117.7056035,Lake Forest,El Toro Road,92630,CA,Mo-Su 10:00-22:00,+1-949-446-8333,https://www.simplyphonoodles.com/
Zaytoon's Kabob,kebab,33.7899863,-118.0300271,Garden Grove,Valley View Street,92845,CA,,,https://www.zaytoonskabob.com/
Mika Sushi,sushi,33.789986,-118.0300882,Garden Grove,,92845,CA,"Mo-Su 11:00-15:30, 16:30-21:30",,
Calipoke,sushi,33.6771778,-117.8854288,,,,,,,
Seabirds Kitchen,american,33.6774735,-117.8863232,Costa Mesa,Bristol Street,92626,CA,Mo-Fr 11:00-21:00; Sa-Su 10:00-21:00,+1-714-549-2584,https://www.seabirdskitchen.com/
Yamame,sushi;japanese;sake,33.6501868,-117.582836,,,,,,+1 949-713-1818,
Pizza E Vino,italian_pizza;italian,33.6502037,-117.5829264,,,,,,+1-949-713-1500,
The Trough Sandwich Kitchen,sandwich;american;breakfast,33.6501738,-117.5830154,Rancho Santa Margarita,Santa Margarita Parkway,92688,CA,,+1-949-709-5545,http://thetroughoc.com
Red Robin,burger,33.6950816,-117.8876916,,,,,,,
Seasons 52,american,33.6899605,-117.887491,Costa Mesa,Bristol Street,92626,CA,Mo-Sa 11:00-22:00; Su 11:00-21:00,+1 714-437-5252,
Quán Vỹ Dạ,vietnamese,33.7441311,-117.9551969,Westminster,Bolsa Avenue,92683,CA,,,
Quattro Caffe,italian;=,33.6911096,-117.8894439,,,,,,,
California Pizza Kitchen,pizza,33.6807577,-117.860848,,,,,Mo-Su 05:00-19:00,,
Kotobuki,japanese,33.6087763,-117.7022758,Laguna Hills,Avenida De La Carlota,92653,CA,,+1 949 587 0290,
Chinese Food,chinese,33.7366617,-117.920658,,,,,,,
Round Table Pizza,pizza,33.71669,-117.935491,,,,,,,
Sizzler,steak_house,33.7157391,-117.963566,,,,,,,https://sizzler.com/locations/sizzler-fountain-valley-warner/
Los Sanchez,mexican,33.7738447,-117.9245738,Garden Grove,Garden Grove Boulevard,92843,CA,Mo-Su 09:00-22:00,+1-714-590-9300,
Mezzet,mediterranean,33.6922333,-117.8925637,,,,,,,
Noah’s NY Bagels,bagel,33.7132894,-117.8166428,Tustin,Kensington Park Drive,92782,CA,Mo-Fr 05:00-14:00; Sa-Su 08:00-14:00,,
Koki's,japanese,33.7425092,-117.81645,Tustin,East Main Street,92780,CA,,,
Tommy's Sushi,sushi,33.7426007,-117.816543,Tustin,East Main Street,92780,CA,,,
Mi Casa Mexicana,mexican,33.7957455,-117.916567,Anaheim,West Orangewood Avenue,92802,CA,Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 11:00-22:00,+1-714-971-0111,https://micasamexicana.com/
Big Rob's Pizzeria,pizza,33.7668181,-118.0068339,,Goldenwest Street,92683,,Su-Th 11:00-21:00; Fr-Sa 11:00-22:00,+1-714-891-1148,http://www.bigrobspizzaria.com/index.html
Rance's Chicago Pizza,pizza,33.6804012,-117.917062,,Baker Street,92626,CA,Mo-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 11:00-21:00,+1-714-708-2143,https://www.rancespizza.com/location/costa-mesa/
Round Table Pizza,pizza,33.6753841,-117.9871693,,Beach Boulevard,92648,,,+1-714-963-9877,https://www.roundtablepizza.com/rtp/store.asp?store_num=296
Las Cazuelas,mexican,33.7474517,-117.8667275,,,,,,,
IHOP,breakfast;pancake,33.7149316,-117.8850615,Santa Ana,South Bristol Street,92704,CA,24/7,+1 714-617-5337,https://restaurants.ihop.com/en-us/ca/santa-ana/breakfast-2407-s.-bristol-st-3628
Rachael's Mexican Food,mexican,33.6625675,-117.7069207,Irvine,Alton Parkway,92618,CA,,+1-949-770-5186,
Ono Hawaiian BBQ,barbecue;hawaiian,33.7180728,-117.8856641,Santa Ana,South Bristol Street,92704,CA,,,
Oak & Coal,japanese,33.6316797,-117.914196,Costa Mesa,East 17th Street,92627,CA,,+1-949-287-6150,
Santa Buffet & Grill,american;seafood,33.7150432,-117.884418,Santa Ana,Bristol Street,92704,CA,Mo-Th 11:00-21:00; Fr-Su 11:00-22:00,+1 714-241-1388,
Taqueria Jalapeños,mexican,33.7157756,-117.8837955,Santa Ana,Warner Ave & S Bristol St,92704,CA,,,
Market Broiler,seafood,33.7826211,-117.8923995,Orange,City Boulevard West,92868,CA,Mo-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 11:00-20:00,+1 714-769-3474,
Chong Qing Mei Wei Szechuan Restaurant,chinese,33.6898477,-117.7691958,,,,,,,
Tang Du Restaurant,chinese,33.6898765,-117.7692345,,,,,,,
101 Noodle Express,chinese,33.6896744,-117.7693107,,,,,,,
Gina's Pizza,pizza,33.6145169,-117.9317904,,West Balboa Boulevard,,,,,https://ginaspizza.com
Meet Fresh,taiwanese,33.6874998,-117.833896,,,,,,,
Gogi,asian,33.650455,-117.8387638,,,,,Mo-Su 23:30-20:30,,
J Sushi,sushi,33.7830509,-117.867643,,,,,,,
Din Ho Chinese Cuisine,chinese,33.6475134,-117.687132,,Trabuco Road,92630,,Mo-Th 11:00-21:00; Fr-Sa 11:00-21:30; Su 16:30-21:00,+1 949-951-0427,https://dinhous.com
Inka Mama's,peruvian,33.6947268,-117.885985,,,,,,,
Brasa,peruvian,33.6945706,-117.8860226,,,,,,,
Sankai,japanese,33.6946827,-117.8861111,,,,,,,
Euro Caffe,sandwich,33.6949104,-117.886337,Santa Ana,South Bristol Street,92704,,,+1 714 662 2222,
Bella Cuba,cuban,33.6946565,-117.8863277,,,,,,,
Phở Nguyễn Huệ,vietnamese;noodle,33.745647,-117.9469114,,,,,,,
Đồng Khánh,vietnamese,33.7452881,-117.9476772,,,,,,,
Mad Dumplings,chinese,33.6505571,-117.8379002,Irvine,Campus Drive,92612,CA,Mo-Su 11:00-21:00,,https://www.maddumplings.com/
Fresh Brothers Pizza,pizza,33.6760424,-117.8325496,Irvine,Harvard Avenue,92614,CA,,+1 949-797-9044,
Pick Up Stix Fresh Asian Flavors,asian,33.6775171,-117.8319576,Irvine,Harvard Avenue,92614,CA,,+1-949-724-1772,https://www.pickupstix.com
Yu's Garden,asian,33.6893788,-117.769597,,,,,,,
Chengdu restaurant,asian,33.6895015,-117.7694817,,,,,,,
Tai Chi Cuisine,chinese,33.689439,-117.770289,Irvine,Walnut Avenue,92604,CA,,,taichicuisine.com
Tofu King,asian,33.6904589,-117.7703882,Irvine,Walnut Avenue,92604,CA,,,
Hometown Restaurant,chinese,33.6901978,-117.7706323,Irvine,Walnut Avenue,92604,CA,,,
Mo-Mo Paradise,japanese;hotpot,33.6900929,-117.7707074,Irvine,Walnut Avenue,92604,CA,,+1-949-390-8788,https://www.momoparadiseusa.com/
Ameci Pizza & Pasta,pizza,33.6889548,-117.7715499,Irvine,Jeffrey Road,92618,CA,,,
Kaju Soft Tofu Restaurant,asian,33.6894639,-117.7695496,,,,,,,https://www.facebook.com/pages/Kaju-Soft-Tofu/116262491761740
A&J Restaurant,thai,33.6881308,-117.7714999,Irvine,Jeffrey Road,92618,CA,,+1 949-786-3585,http://www.aj-restaurant.com/
Shik Do Rak Restaurant,asian,33.6878299,-117.7715548,Irvine,Jeffrey Road,92618,CA,,,https://shikdorakrestaurant.com/
Fresh Brothers Pizza,pizza,33.7274626,-117.7864602,,,,,,,
O Dumpling Bar,chinese,33.789397,-117.8529614,,,,,,,
Hanano Ramen,japanese,33.7893489,-117.8529622,,,,,,,
Baba G,mediterranean,33.7879914,-117.8538844,Orange,West Chapman Avenue,92866,CA,,+1-714-538-7180,https://www.byblosorange.com/menu
Impact Juice Bar,juice,33.7867859,-117.8532785,,,,,,,
Blaze Pizza,pizza,33.7874427,-117.8529594,,,,,,,
